,K,batch_size,beta,epochs,scheduler_type,step_size,gamma,best_train_accuracy,best_eval_accuracy,best_train_loss,best_eval_loss,std_train_loss,std_eval_loss,mean_epoch_time,status
splm_optimizer__hinge_loss__2021_06_24__16_29_48,50,1000,10,20,step_beta,6,6,0.6172,0.5705,0.2368343472480774,0.3093807101249695,0.22059538299728051,0.20310927418063657,23.15745620727539,successful
splm_optimizer__hinge_loss__2021_06_24__16_38_12,50,1000,10,20,step_beta,6,7,0.6172,0.5705,0.258146733045578,0.33533725142478943,0.21203265324026174,0.19329490605728297,15.59043608903885,successful
splm_optimizer__hinge_loss__2021_06_24__16_43_54,50,1000,10,20,step_beta,6,8,0.6172,0.5705,0.27828696370124817,0.3579964339733124,0.20456642579971765,0.18507156631927224,23.759545826911925,successful
splm_optimizer__hinge_loss__2021_06_24__16_52_28,50,1000,10,20,step_beta,6,9,0.6172,0.5705,0.29570597410202026,0.3769909143447876,0.19828271281066404,0.17828978174524845,15.913828563690185,successful
splm_optimizer__hinge_loss__2021_06_24__16_58_16,50,1000,10,20,step_beta,7,10,0.6172,0.5705,0.21663407981395721,0.2781515121459961,0.23963734479526494,0.2259735320185884,15.999219572544098,successful
splm_optimizer__hinge_loss__2021_06_24__17_04_06,50,1000,10,20,step_beta,7,1,0.6172,0.5705,0.2385639250278473,0.2904619872570038,347.95367280446055,381.8876468948247,15.609376573562622,successful
splm_optimizer__hinge_loss__2021_06_24__17_09_48,50,1000,10,20,step_beta,7,2,0.6172,0.5705,0.2366437166929245,0.2860793173313141,1.0000492266990197,1.2745480563591716,15.76051961183548,successful
splm_optimizer__hinge_loss__2021_06_24__17_15_33,50,1000,10,20,step_beta,7,3,0.6172,0.5705,0.2395980805158615,0.28645679354667664,0.22292155384405526,0.23638093134125537,15.473472702503205,successful
splm_optimizer__hinge_loss__2021_06_24__17_21_13,50,1000,10,20,step_beta,7,4,0.6172,0.5705,0.2189873456954956,0.2874376177787781,0.21365485889428032,0.19773810725211535,15.516014885902404,successful
splm_optimizer__hinge_loss__2021_06_24__17_26_53,50,1000,10,20,step_beta,7,5,0.6172,0.5705,0.2147401124238968,0.28256478905677795,0.2266259439086487,0.21155545557024558,15.58043177127838,successful
